name,salary,workyear,city,education,company
Python研发工程师（实习生）,4K-5K,经验不限,北京,不限,掌阅科技,"['', '                                    你将会参与需求讨论与制定，参与项目计划及实现；负责对现有系统进行优化，重构不合理的代码。 基础素质要求：1. 编程风格良好，熟悉代码重构；2. 深刻理解计算机数据结构和算法设计，以及常用设计模式；3. 熟练使用python及常用标准库, 有使用tornado、django、web.py中的一种框架的经验；4. 熟悉linux日常操作，熟悉mysql, redis, nginx的使用；5. 熟悉各种常见数据处理，如JSON，XML等。', '                            掌阅科技成立于2008年，于2017年在上交所完成上市。掌阅科技一直专注于数字出版和移动阅读方向，通过向用户收费提供正版数字版权的商业模式完成盈利。如今，掌阅已经积累了6亿用户和2000万的日活跃用户，拥有畅销、生活、文学等的优质图书数字版权35万册，2014年发行10亿册。', '                                                掌阅，全球最大移动数字阅读平台，日活跃用户2000万，累计用户达6亿掌阅，掌文学为公，阅经典之版，创新方式传播中华传统文化掌阅海外版，覆盖150个国家和地区，阅遍世界经典掌阅文学，为数万作者提供自由创作的平台掌阅电纸书，七年磨一剑，只为阅读生阅读，让中国梦更美好！要么旅行，要么读书，身体', '                                        ']"
Python研发工程师,15K-30K,1-3年,北京,本科,非凡维格,"['', '                                    工作职责： 1.本科以上学历，1年以上Python开发经验，参与设计并实现过大型互联网产品的后台系统；2.有线上服务开发经验，熟悉各类Python框架，熟悉Mongo/Mysql数据库，熟悉Docker；3.了解 HTML、CSS、JavaScript；4.对开源技术有强烈的兴趣和爱好，提交过 bug 或 patch。任职资格： 1.熟练掌握至少一门编程语言，如 Python、Go、Java 等；2.熟悉常用 web 开发相关技术，如 web 框架、HTTP 协议、web 安全等；3.熟悉至少一种 SQL 和 NoSQL 存储。来 Weego 能得到什么？* 国际化产品，有竞争力的薪酬；* 透明的企业文化，全开放的办公环境；* 定期技术分享，三人行必有我师，不断提升。', '                            Weego致力于构建一站式的海外出行资讯和服务平台，为中国中高端旅行者提供个性化、智能化的信息资讯和目的地优质酒店、餐饮、交通、娱乐全方位旅游产品即时预订服务。 Weego移动端产品于2015年10月上线，覆盖全球4大洲，超30个核心旅游目的地。', '                                                我们做什么：Weego致力于构建一站式的海外出行资讯和服务平台。我们有全球精选酒店，最优价格，限时特惠，为您说走就走的旅行助一臂之力。我们有资深旅游产品设计师和旅行达人为您精心设计和挑选旅游套餐，整合最优自由行产品，让您省心出游，尽享实惠。我们网罗受全球客人欢迎的中高端酒店，展示丰富的酒店产品和', '                                        ']"
python数据工程师,15K-30K,3-5年,北京,本科,壹永科技,"['', '                                    岗位职责：1、负责业务相关的数据分析和数据挖掘工作;2、负责日常数据ETL和数据统计工作;3、参与数据质量控制和数据校验工作;岗位要求：1、三年以上python的数据处理经验，熟悉Pandas, Numpy等数据处理库；2、熟悉MySQL等关系型数据库，熟练掌握数据库性能优化；熟悉MongoDB、Redis等非关系型数据库，并有实际的项目开发经验;3、基础知识扎实，有良好的数据结构与算法基础；4、有良好的技术视野，追求简洁优雅的技术解决方案，能够根据产品和用户的发展，扩展技术架构；5、有良好的沟通能力，能和不同背景的成员沟通协作；6、有数据平台开发经验者优先；7、熟悉Linux操作系统及常用命令，熟悉多线程、网络相关知识；', '                            ', '                                                壹永科技是一家专注于肿瘤领域的医疗数据服务公司。作为容联易通信息技术有限公司在医疗领域的战略延伸，公司依托于强大的技术实力，正在快速、稳健的发展中。\xa0现在加入我们！跨界医学和科技，发掘每个癌症患者背后的信息，用数据的力量，服务医患两端，助力中国癌症防治少一些纠结和无奈。公司', '                                        ']"
python爬虫,10K-20K,3-5年,北京,大专,欧特欧咨询,"['', '                                    岗位职责1、对指定网站进行数据抓取，清洗以及汇总的开发工作。 2、互联网网站，网页，链接的特征挖掘。 3、负责系统日常运营资源调度优化及运营指标分析调优，并能实时监控爬虫的进度和警报反馈。 4、负责特殊网页采集任务的分析及采集方案设计。 岗位要求： 1、python爬取数据2年以上经验，熟悉HTTP传输协议，能模拟浏览器操作爬虫。 2、精通网页抓取原理及技术，精通正则表达式，从结构化的和非结构化的数据中获取信息。 3、熟悉多线程编程4、至少精通一种关系型数据库的开发，如MYSQL、PGSQL等。 5、有爬虫，信息抽取，文本分类相关经验者优先；6、有责任心，学习能力强，具有良好的团队合作精神，对工作有热情。', '                            公司团队氛围好，领导好。年轻化团队。办公环境舒适。完善的福利制度。欢迎您的加入！', '                                                北京欧特欧国际咨询有限公司（简称欧特欧咨询）专注于线上零售商品数据的监测与研究，依托长期积累的零售研究经验，结合最新的大数据采集处理技术、大数据分析和云计算技术，实现了对全网主流网络零售平台的全面覆盖，监测采集数据达到网络零售交易规模的90%以上，涵盖所有主流的B2C和C2C网站，监测的URL数量达', '                                        ']"
服务期后端开发（python、C/C++）,5K-10K,经验不限,北京,大专,安天,"['', '                                    岗位职责：1、服务器后端程序开发（日志分析、数据统计、挖掘等）2、使用C/C++和Python结合NoSql数据库进行开发3、与团队其他成员一起制定以及实现合理的接口4、对程序的运行性能有较高要求任职要求：1、2年以上软件开发经验 2、精通Python、Go或C/C++语言；或精通HTML、CSS、Jquery3、熟练使用Linux，PostgreSQL或SQLite \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa04、熟悉SVN、GIT \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 5、了解至少两种NoSQL数据库6、具有良好的编码习惯及开发文档书写习惯""', '                            北京安天网络安全技术有限公司是安天旗下针对企业网络安全产品的开发、市场、销售以及服务于2005年在京注册成立的全资子公司，是经北京市科委认证的高新技术企业和双软企业。', '                                                安天从反病毒引擎研发团队起步，目前已发展成为以安天实验室为总部，以企业安全公司、移动安全公司为两翼的集团化安全企业。安天始终坚持以安全保障用户价值为企业信仰，崇尚自主研发创新，在安全检测引擎、移动安全、网络协议分析还原、动态分析、终端防护、虚拟化安全等方面形成了全能力链布局。', '                                        ']"
Python,4K-6K,1-3年,北京,大专,凤皇社,"['', '                                    岗位职责： 1、负责协助技术总监进行技术评测，bug处理，代码开发； 2、负责网站数据库、栏目、程序模块的设计与开发； 3、负责根据公司要求进行erp、oa、crm系统等项目开发； 4、按时按质完成公司下达程度开发、系统评测等工作任务； 5、定期维护网站程序，处理反馈回来的系统bug； 6、网站程序开发文档的编写。 任职资格： 1、良好的代码习惯，要求结构清晰、命名规范、逻辑性强、代码冗余率低； 2、熟悉Mysql，有较为熟练地掌握mysql语言及编写存储过程、触发器等数据库开发的能力； 3、精通PHP语言，精通CGI标准和HTTP等互联网协议； 4、熟练掌握javascript、div+css等web前端布局及多浏览器兼容相关技术； 5、英文水平过硬，能基本不借助字典快速阅读英文文档； 6、熟练使用Linux或UNIX系统，熟悉在Linux、UNIX下配置php+mysql的运行环境； 7、有良好的沟通、协调能力和学习能力，具备良好的团队合作精神，对工作积极严谨踏实，能承受较大的工作压力。', '                            ', '                                                凤皇社：SEO工程师的天堂，国内唯一一家所有部门由SEO工程师管理的公司，致力于打造SEO工程师的乐园。SEO工程师可以大胆的放开手脚，发挥最大的潜能，公司将会做你强大的背后支撑，凤皇社对SEO人员的口号：不要让贫穷限制你的想象。过万域名，千台服务器，大量广告流量……', '                                        ']"
Python服务端开发工程师,25K-50K,3-5年,北京,本科,今日头条,"['', '                                    职位描述：1、负责今日头条相关产品的后台业务研发；2、负责在线大流量高并发系统设计；3、主要实现语言为Python／Golang。职位要求：1、统招本科及以上学历，计算机、通信等相关专业者优先；2、有扎实的编程能力，有优秀的设计和代码品味； 3、深刻理解计算机原理，有良好的数据结构和算法基础； 4、熟悉Mysql、Nosql、消息队列等常用WEB组件； 5、有高并发服务设计和实现经验优先； 6、有较好的产品意识优先； 7、积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力； 8、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能及时关注和学习业界最新技术。', '                            财经业务', '                                                字节跳动，是全球第一家将人工智能应用到主产品的科技公司。短短6年，我们从最初的一个“今日头条”，已经发展为拥有“抖音”、“西瓜视频”、“火山小视频”、“FaceU”等十几款', '                                        ']"
Python开发工程师,6K-12K,1-3年,北京,大专,昱然智能,"['', '                                    职位描述：1、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题；2、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作；3、负责公司产品后期维护和开发。任职要求：\xa01、熟练掌握编程基础知识，熟悉网络编程、多线程编程、大规模文本数据处理等，有良好代码风格；一年以上的Python项目开发经验；2、负责运维自动化平台及其组件的设计和开发（主要是CMDB模块），搭建基础运维架构，编写自动运维脚本。3、负责优化、改进运维支持系统，并保证其安全高效稳定的运行。4、吃苦耐劳，善于学习，善于接受新事物，解决新问题，具备良好的学习能力和成长潜力，渴望和团队一起快速成长；有数据清洗经验，逻辑思维能力强更佳。', '                            ']"
Python工程师,10K-20K,经验不限,北京,本科,深度好奇,"['', '                                    工作职责:1. 负责各个项目的开发、部署、维护工作（主要编程语言为Python）2. 与研究员和其他工程师共同探讨技术方案并参与产品设计3. 持续改进现有代码以应对多样化需求4. 维护公司内部良好的开发、实验、标注平台和环境职位要求：1. 熟悉Python语言，熟练使用Python常用模块，熟悉C/C++者优先； 2. 熟悉Linux系统，有shell编程基础，熟悉容器技术（Docker）者优先；3. 熟练使用TensorFlow等深度学习框架者优先；4. 熟悉django/tornado/Flask等Python框架，熟悉爬虫，有Web开发项目经验者优先；5. 了解常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等）、深度学习、NLP者优先；6. 动手能力强，可以快速实现想法', '                            ', '                                                DeeplyCurious.AI深度好奇（北京）科技有限公司，2016年设立于北京，成立初期即获国内两家顶级投资机构千万级天使轮投资。公司由语言智能领域领军人物吕正东博士领衔创办，致力于成为中国语言智能领域最具竞争力的创新技术公司。深度好奇在深度学习、自然语言处理等方向拥有国内顶尖、国际', '                                        ']"
Python服务端测试开发,25K-35K,3-5年,北京,本科,京东集团,"['', '                                    岗位描述： 进行功能、性能、稳定性等多方面测试，保证网关产品和OpenApi产品的质量。公有云API网关是公有云体系中的重要组件，需要支持高并发，保证高可用。岗位要求： 1、3年以上测试开发经验，有测试框架搭建经验2、熟练使用Linux3、有至少一种语言的代码经验，如Go，Java，Python，C/C++等，Python最佳，有良好的的代码风格4、熟悉常用的数据结构和算法5、较强的团队合作和沟通能力6、有性能测试经验优先7、有大型互联网公司工作经验优先8、积极、上进', '                            快速发展新产品。', '                                                京东于2004年正式涉足电商领域。2016年，京东集团市场交易额达到9392亿元*。京东是中国收入规模最大的互联网企业。2017年7月，京东再次入榜《财富》全球500强，位列第261位，成为排名最高的中国互联网企业，在全球仅次于亚马逊和Alphabet，位列互联网企业第三。2018年财富世界500', '                                        ']"
